Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666667
Decision Tree,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666667
Logistic Regression,1.0,1.0,1.0,1.0
